time (cs),x_acceleration(g)
2738,-0.0019746851176023483
2740,-0.0014810138382017612
2742,-0.0012341781985014677
2744,-0.0012341781985014677
2746,-0.0012341781985014677
2748,-0.0014810138382017612
2750,-0.002221520757302642
2752,-0.0017278495943173766
2754,-0.0012341781985014677
2756,-0.0012341781985014677
2758,-0.0017278495943173766
2760,-0.0012341781985014677
2762,-0.0014810138382017612
2764,-0.0012341781985014677
2766,-0.0019746851176023483
2768,-0.0014810138382017612
2770,-0.0012341781985014677
2772,-0.0014810138382017612
2774,-0.0012341781985014677
2776,-0.0014810138382017612
2778,-0.0019746851176023483
2780,-0.0012341781985014677
2782,-0.0019746851176023483
2784,-0.0014810138382017612
2786,-0.0014810138382017612
2788,-0.0017278495943173766
2790,-0.002715192036703229
2792,-0.0024683563970029354
2794,-0.0012341781985014677
2796,-0.0019746851176023483
2798,-0.0014810138382017612
2800,-0.0019746851176023483
2802,-0.0024683563970029354
2804,-0.0017278495943173766
2806,-0.0012341781985014677
2808,-0.0019746851176023483
2810,-0.0014810138382017612
2812,-0.002221520757302642
2814,-0.0012341781985014677
2816,-0.0019746851176023483
2818,-0.0012341781985014677
2820,-0.0017278495943173766
2822,-0.0017278495943173766
2824,-0.0019746851176023483
2826,-0.0014810138382017612
2828,-0.0012341781985014677
2830,-0.0012341781985014677
2832,-0.0017278495943173766
2834,-0.0017278495943173766
2836,-0.0017278495943173766
2838,-0.0017278495943173766
2840,-0.0012341781985014677
2842,-0.0017278495943173766
2844,-0.0014810138382017612
2846,-0.003208863316103816
2848,-0.0007405069191008806
2850,-0.0014810138382017612
2852,-0.0017278495943173766
2854,-0.0017278495943173766
2856,-0.0012341781985014677
2858,-0.0014810138382017612
2860,-0.0017278495943173766
2862,-0.0017278495943173766
2864,-0.0012341781985014677
2866,-0.0009873425588011742
2868,-0.0012341781985014677
2870,-0.0014810138382017612
2872,-0.0019746851176023483
2874,-0.0012341781985014677
2876,-0.003208863316103816
2878,-0.0009873425588011742
2880,-0.0017278495943173766
2882,-0.0029620276764035225
2884,-0.0014810138382017612
2886,-0.002715192036703229
2888,-0.0019746851176023483
2890,-0.0017278495943173766
2892,-0.0014810138382017612
2894,-0.0009873425588011742
2896,-0.002715192036703229
2898,-0.0014810138382017612
2900,0.00024244592350441962
